time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449850000	16.542	19.369	4.72527	2.52925	0.519958	radar	3.2482	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.317	19.5305	4.7894	2.55483	0.517726	lidar	0.860678	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0938	19.6126	4.77064	2.60994	0.569107	radar	10.1125	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8882	19.7565	4.79466	2.63026	0.559308	lidar	0.767711	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7	19.8821	4.76631	2.63046	0.492946	radar	3.1708	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4694	20.036	4.83045	2.6472	0.482102	lidar	1.32261	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2572	20.1784	4.85448	2.65764	0.459437	radar	5.60053	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0693	20.3108	4.83881	2.66791	0.445709	lidar	1.79265	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8386	20.3923	4.83799	2.70883	0.480016	radar	2.238	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6231	20.5119	4.84897	2.72502	0.47108	lidar	0.601182	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3861	20.5982	4.86723	2.76463	0.508476	radar	1.31752	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1395	20.6719	4.88269	2.79773	0.516655	lidar	0.742081	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9026	20.743	4.89112	2.83511	0.544178	radar	0.330919	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6281	20.8059	4.94072	2.871	0.55253	lidar	1.73308	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3806	20.836	4.946	2.92825	0.617971	radar	2.11603	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1339	20.8754	4.94602	2.96298	0.622254	lidar	0.149594	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9029	20.9348	4.9354	2.98193	0.601768	radar	1.84449	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7029	20.9772	4.87673	3.00541	0.596561	lidar	1.94006	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4509	21.0185	4.89842	3.03207	0.592997	radar	2.56505	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
